,accuracy,phone,layer,strat,voicing,articulation,model,language,phone_type
57,0.2857142857142857,ɪ,0,1,other,other,wav2vec-small,hindi,
58,0.7692307692307693,ɲ,0,1,other,other,wav2vec-small,hindi,
59,0.5714285714285714,ɳ,0,1,other,retroflex,wav2vec-small,hindi,
60,0.3076923076923077,ɹ,0,1,other,other,wav2vec-small,hindi,
61,0.42857142857142855,ɹ̩,0,1,other,other,wav2vec-small,hindi,
62,0.35714285714285715,ɽ,0,1,other,retroflex,wav2vec-small,hindi,
63,0.3076923076923077,ɽ̥,0,1,other,retroflex,wav2vec-small,hindi,
64,0.3076923076923077,ʂ,0,1,other,retroflex,wav2vec-small,hindi,
65,0.5,ʃ,0,1,other,other,wav2vec-small,hindi,
66,0.5384615384615384,ʈ,0,1,voiceless_unaspirated,retroflex,wav2vec-small,hindi,
67,0.5714285714285714,ʈʰ,0,1,voiceless_aspirated,retroflex,wav2vec-small,hindi,
68,0.0,ʊ,0,1,other,other,wav2vec-small,hindi,
69,0.0,ʌ,0,1,other,other,wav2vec-small,hindi,
70,0.0,θ,0,1,other,other,wav2vec-small,hindi,
71,0.5,ẽ,0,1,other,other,wav2vec-small,hindi,
0,0.8461538461538461,SIL,0,2,other,other,wav2vec-small,hindi,
1,0.5714285714285714,a,0,2,other,other,wav2vec-small,hindi,
2,0.6923076923076923,aː,0,2,other,other,wav2vec-small,hindi,
3,0.42857142857142855,b,0,2,voiced_unaspirated,other,wav2vec-small,hindi,
4,0.6153846153846154,b̤,0,2,voiced_aspirated,other,wav2vec-small,hindi,
5,0.6153846153846154,d,0,2,voiced_unaspirated,dental,wav2vec-small,hindi,
6,0.2857142857142857,d̤,0,2,voiced_aspirated,dental,wav2vec-small,hindi,
7,0.38461538461538464,d͡ʒ,0,2,voiced_unaspirated,other,wav2vec-small,hindi,
8,0.35714285714285715,d͡ʒ̤,0,2,voiced_aspirated,other,wav2vec-small,hindi,
9,0.38461538461538464,e,0,2,other,other,wav2vec-small,hindi,
10,0.46153846153846156,f,0,2,other,other,wav2vec-small,hindi,
11,0.5,h,0,2,other,other,wav2vec-small,hindi,
12,0.21428571428571427,i,0,2,other,other,wav2vec-small,hindi,
13,0.3076923076923077,iː,0,2,other,other,wav2vec-small,hindi,
14,0.42857142857142855,j,0,2,other,other,wav2vec-small,hindi,
15,0.46153846153846156,k,0,2,voiceless_unaspirated,other,wav2vec-small,hindi,
16,0.5384615384615384,kʰ,0,2,voiceless_aspirated,other,wav2vec-small,hindi,
17,0.7142857142857143,l,0,2,other,dental,wav2vec-small,hindi,
18,0.5384615384615384,m,0,2,other,other,wav2vec-small,hindi,
19,0.14285714285714285,n,0,2,other,dental,wav2vec-small,hindi,
20,0.5384615384615384,o,0,2,other,other,wav2vec-small,hindi,
21,0.6153846153846154,p,0,2,voiceless_unaspirated,other,wav2vec-small,hindi,
22,0.5,pʰ,0,2,voiceless_aspirated,other,wav2vec-small,hindi,
23,0.5,q,0,2,other,other,wav2vec-small,hindi,
24,0.46153846153846156,r,0,2,other,dental,wav2vec-small,hindi,
25,0.6428571428571429,r̩,0,2,other,dental,wav2vec-small,hindi,
26,0.6153846153846154,s,0,2,other,dental,wav2vec-small,hindi,
27,1.0,spn,0,2,other,other,wav2vec-small,hindi,
28,0.07142857142857142,t,0,2,voiceless_unaspirated,dental,wav2vec-small,hindi,
29,0.5384615384615384,tʰ,0,2,voiceless_aspirated,dental,wav2vec-small,hindi,
30,0.5,t͡ʃ,0,2,voiceless_unaspirated,other,wav2vec-small,hindi,
31,0.38461538461538464,t͡ʃʰ,0,2,voiceless_aspirated,other,wav2vec-small,hindi,
32,0.3076923076923077,u,0,2,other,other,wav2vec-small,hindi,
33,0.21428571428571427,uː,0,2,other,other,wav2vec-small,hindi,
34,0.38461538461538464,v,0,2,other,other,wav2vec-small,hindi,
35,0.4444444444444444,w,0,2,other,other,wav2vec-small,hindi,
36,0.0,x,0,2,other,other,wav2vec-small,hindi,
37,0.38461538461538464,z,0,2,other,dental,wav2vec-small,hindi,
38,0.0,ã,0,2,other,other,wav2vec-small,hindi,
39,0.5384615384615384,ãː,0,2,other,other,wav2vec-small,hindi,
40,0.2857142857142857,æ,0,2,other,other,wav2vec-small,hindi,
41,0.6923076923076923,æː,0,2,other,other,wav2vec-small,hindi,
42,0.6923076923076923,ŋ,0,2,other,other,wav2vec-small,hindi,
43,0.0,ũ,0,2,other,other,wav2vec-small,hindi,
44,1.0,ũː,0,2,other,other,wav2vec-small,hindi,
45,0.23076923076923078,ɑ,0,2,other,other,wav2vec-small,hindi,
